price,rating,processor,cpu cores,processor speed,gpu,ram,ram type,storage,storage type,memory card support,os,ui,display size,display type,display resolution,refresh rate,touch sampling rate,hdr support,rear camera,rear camera sensor,rear camera features,front camera,video recording,battery,charging speed,charging type,wireless charging,reverse charging,charging port,sim slots,network support,wifi,bluetooth,nfc,gps,fingerprint sensor,face unlock,stereo speakers,dolby atmos,3.5mm jack,build material,weight,ip rating,haptics,notification led,cooling system,bloatware
"₹18,999",82.0,Snapdragon 695,Octa Core,2.2 GHz Processor,Not specified,6 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v13,Not specified,6.72 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,108 MP + 2 MP Dual Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,33W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹18,999",79.0,Dimensity 700 5G,Octa Core,2.2 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.56 inches,Not specified,720 x 1612 px,90 Hz Display with Water Drop Notch,Not specified,Not specified,50 MP + 2 MP Dual Rear,Not specified,Not specified,8 MP Front Camera,Not specified,5000 mAh,33W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹24,762",79.0,Dimensity 1080,Octa Core,2.6 GHz Processor,Not specified,6 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,No FM Radio,Not specified,6.67 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,50 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,67W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹16,990",80.0,Snapdragon  695,Octa Core,2.2 GHz Processor,Not specified,6 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.58 inches,Not specified,1080 x 2408 px,120 Hz Display with Water Drop Notch,Not specified,Not specified,50 MP + 2 MP + 2 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,18W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹1,14,990",Not specified,Snapdragon 8 Gen2,Octa Core,3.2 GHz Processor,Not specified,8 GB RAM,Not specified,256 GB inbuilt,Not specified,No,Android v13,Not specified,6.8 inches,Not specified,1440 x 3088 px,120 Hz Display with Punch Hole,Not specified,Not specified,200 MP Quad Rear,Not specified,Not specified,12 MP Front Camera,Not specified,5000 mAh,45W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹62,999",79.0,Bionic A15,Hexa Core,3.22 GHz Processor,Not specified,4 GB RAM,Not specified,128 GB inbuilt,Not specified,No,iOS v15,Not specified,6.1 inches,Not specified,1170 x 2532 px Display with Small Notch,Not specified,Not specified,Not specified,12 MP + 12 MP Dual Rear,Not specified,Not specified,12 MP Front Camera,Not specified,3240 mAh,Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹9,999",65.0,Helio P35,Octa Core,2.3 GHz Processor,Not specified,3 GB RAM,Not specified,32 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.51 inches,Not specified,720 x 1600 px Display with Water Drop Notch,Not specified,Not specified,Not specified,13 MP + 2 MP Dual Rear,Not specified,Not specified,5 MP Front Camera,Not specified,5000 mAh,10W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹45,999",86.0,Snapdragon 8+ Gen1,Octa Core,3.2 GHz Processor,Not specified,16 GB RAM,Not specified,256 GB inbuilt,Not specified,Yes,No FM Radio,Not specified,6.7 inches,Not specified,1080 x 2412 px,120 Hz Display with Punch Hole,Not specified,Not specified,50 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,32 MP Front Camera,Not specified,4700 mAh,80W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹32,999",86.0,Dimensity 8100 Max,Octa Core,2.85 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Bluetooth,Not specified,6.7 inches,Not specified,1080 x 2412 px,120 Hz Display with Punch Hole,Not specified,Not specified,50 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,80W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹14,499",72.0,Helio G70,Octa Core,2 GHz Processor,Not specified,4 GB RAM,Not specified,64 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.55 inches,Not specified,720 x 1612 px Display with Water Drop Notch,Not specified,Not specified,Not specified,50 MP + 2 MP Dual Rear,Not specified,Not specified,8 MP Front Camera,Not specified,5000 mAh,18W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹39,999",85.0,Snapdragon  8+ Gen1,Octa Core,3.2 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Bluetooth,Not specified,6.7 inches,Not specified,1080 x 2412 px,120 Hz Display with Punch Hole,Not specified,Not specified,50 MP + 12 MP + 2 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,100W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹35,999",85.0,Dimensity 1300,Octa Core,3 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,No FM Radio,Not specified,6.56 inches,Not specified,1080 x 2376 px,120 Hz Display with Punch Hole,Not specified,Not specified,64 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,32 MP Front Camera,Not specified,4830 mAh,66W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹14,999",80.0,Snapdragon 695,Octa Core,2.2 GHz Processor,Not specified,6 GB RAM,Not specified,64 GB inbuilt,Not specified,Yes,Android v11,Not specified,6.67 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,64 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,67W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹17,859",76.0,Snapdragon 4 Gen 1,Octa Core,2 GHz Processor,Not specified,4 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.67 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,48 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,13 MP Front Camera,Not specified,5000 mAh,33W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹42,990",87.0,Dimensity 9000 Plus,Octa Core,3.2 GHz Processor,Not specified,12 GB RAM,Not specified,256 GB inbuilt,Not specified,Yes,No FM Radio,Not specified,6.7 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,64 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,32 MP Front Camera,Not specified,4800 mAh,100W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹31,239",88.0,Snapdragon 865,Octa Core,2.84 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v10,Not specified,6.5 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,12 MP + 12 MP + 8 MP Triple Rear,Not specified,Not specified,32 MP Front Camera,Not specified,4500 mAh,Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹21,995",84.0,Snapdragon 695,Octa Core,2.2 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.59 inches,Not specified,1080 x 2412 px,120 Hz Display with Punch Hole,Not specified,Not specified,64 MP + 2 MP + 2 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,33W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹1,29,990",76.0,Bionic  A16,Hexa Core Processor,,Not specified,6 GB RAM,Not specified,128 GB inbuilt,Not specified,No,iOS v16,Not specified,6.7 inches,Not specified,1290 x 2796 px,120 Hz Display,Not specified,Not specified,48 MP + 12 MP + 12 MP Triple Rear,Not specified,Not specified,12 MP Front Camera,Not specified,4323 mAh,Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹27,999",83.0,Dimensity  900,Octa Core,2 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.44 inches,Not specified,1080 x 2408 px,90 Hz Display with Water Drop Notch,Not specified,Not specified,64 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,50 MP Front Camera,Not specified,4500 mAh,44W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹69,999",Not specified,Snapdragon  8 Gen2,Octa Core,3.2 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,No FM Radio,Not specified,6.7 inches,Not specified,1440 x 3216 px,120 Hz Display with Punch Hole,Not specified,Not specified,50 MP + 48 MP + 32 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,4500 mAh,100W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
